,binary_search_lcs,brute_force_lcs,dynamic_lcs,exp_search_lcs,functional_lcs,iterative_lcs,recursive_lcs,short_hi_lcs,short_lo_lcs,suffix_search_lcs,suffix_tree_lcs
0,1.3333339259261893e-05,1.511111782716348e-05,1.111111604938491e-05,1.2888894617286497e-05,3.1111124938277755e-05,6.666669629630945e-06,6.666669629630947e-06,1.2888894617286497e-05,4.000001777778568e-06,0.0006048891577285146,0.00011511116227162767
100,0.00016711118538274906,0.0018715563873583944,0.0009884448837532815,0.00011200004977779991,0.040200017866674605,0.00015866673718521653,,0.001835556371358387,0.00010133337837039039,0.0009142226285433905,0.0009080004035557349
200,0.00041688907417292186,0.009934671082076038,0.018044452464201093,0.0002355556602469601,0.20619253608557161,0.0005631113613828273,,0.007304003246223665,0.0002377778834568371,0.0014346673042965796,0.0021697787421238856
300,0.0006666669629630947,0.026734678548746022,0.022836010149337845,0.0003302223689877196,0.6246016109340494,0.001301778356345936,,0.018188452528201123,0.00022977787990127995,0.0015337784594570932,0.017080007591114485
400,0.001054667135407616,0.056187580527813565,0.03162801405689514,0.0005786669238519662,1.4795619909164401,0.0023662232738770107,,0.0353715712762539,0.00044044464019761786,0.002553778912790628,0.018032008014225782
500,0.0012960005760002558,0.09911071071587144,0.042644018952897315,0.0005653335845927042,2.8326563700694978,0.0038053350245933443,,0.059894248841888376,0.000422666854518602,0.0024062232916547957,0.019099564044250686
600,0.0016764451895311954,0.16618629608279828,0.058860026160011625,0.0006648891843951931,4.952399089955151,0.005298669021630676,,0.09348670821631476,0.00048044465797540356,0.0025364455717535876,0.020048453354868156
700,0.002011112004938669,0.25272455676646965,0.07246358776159456,0.0007817781252347223,7.712293205463647,0.007511558894026175,,0.13641428285079238,0.0005440002417778853,0.0028355568158030292,0.019634230948547087
800,0.002486667771852343,0.3639526062011583,0.09324670810964805,0.0011702227423212187,,0.009478226434767305,,0.19206452980645772,0.0007831114591606485,0.004585335371260164,0.020554231357436156
900,0.003017334674370966,0.5106877825279034,0.11508627337167705,0.0013644450508644669,,0.01215378317945919,,0.2597165598740266,0.0008697781643458508,0.00569511364227273,0.023154676957634204
1000,0.0033942237307661026,0.6708189648084288,0.14084317370807722,0.0014222228543212686,,0.014934673304299248,,0.33757392781063456,0.0009604448713088317,0.005264446784198571,0.0237671216742763
1100,0.005299113466272652,0.8560043804463913,0.17476096656042958,0.0015982229325435255,,0.0180804524802011,,0.42940730195880084,0.0010577782479014434,0.00611600271822343,0.025206233424992633
1200,0.004345335264593451,1.1353702823867922,0.2049134244059664,0.0017084452037534237,,0.021444009530670903,,0.5404695735420326,0.0011364449495310886,0.006313336139260506,0.024047566243362774
1300,0.005104446713087428,1.3770121675609635,0.23412677072300922,0.0018973341765929673,,0.025432900192400087,,0.6639065172917854,0.0012106672047409797,0.006877780834569259,0.0262364561050916
1400,0.00549911355516158,1.7094585375371278,0.27195078753368335,0.0020488897995065776,,0.029762679894524396,,0.8057505803335913,0.001403556179358302,0.0076080033813348364,0.027919567964252427
1500,0.006448891755063002,2.0425555744691444,0.3112036938683084,0.0023551121578276255,,0.03384668170963632,,0.9781755458557981,0.0015608895826175922,0.008866226162767185,0.027940456862425272
1600,0.006765336340149484,2.458093536930461,0.36026904900846624,0.0023884455059757807,,0.03795690575862478,,1.1450951755978558,0.0016057784914571072,0.009240004106668493,0.028948012865783496
1700,0.0075173366743718556,3.0108000048000023,0.40572684698970973,0.002568445585975816,,0.04440890862618162,,1.3527690456751313,0.0016320007253336555,0.009708004314668584,0.030644902508845558
1800,0.007957781314569473,3.503346445931754,0.48359665937629304,0.002440001084444926,,0.04842491041107129,,1.5741646996287553,0.0022297787687905637,0.00773600343822375,0.030601791378573946
1900,0.009754671002076002,4.077595145597843,0.5038233350325934,0.002738667883852393,,0.0542342463263317,,1.8168963630650503,0.0018448897088398704,0.014054228468545987,0.03217556985580883
2000,0.01003956001758223,4.705881202613868,0.5606344713930983,0.002969779097679599,,0.059765804340357484,,2.068012474672211,0.001940000862222605,0.011285338349039267,0.03216579207368537
2100,0.01068444919308853,5.449306866358607,0.6130967169318742,0.002902667956741314,,0.06629869613275384,,2.365715718095875,0.0025320011253338335,0.00988133772503899,0.03328979257324115
2200,0.01127156056513803,6.245369442386419,0.6980696435865082,0.003177334745482109,,0.07222758765670563,,2.6936745305220136,0.002206223202765868,0.011492893996841776,0.033840903929290636
2300,0.012017338674372744,7.239184995193331,0.7684305637469172,0.0033066681362969494,,0.07924092410707738,,3.041975129766725,0.002219112097383154,0.012185783193681419,0.03446890420840187
2400,0.01264622784276793,8.325603700268312,0.8148488065994696,0.0034235570771364784,,0.08670181631191837,,3.3929548413132626,0.0023840010595560265,0.012513338894817287,0.0364662384294393
2500,0.014020895120397833,,0.9228199656977625,0.003368890386173505,,0.09404759735448771,,3.7679772302121024,0.00321200142755619,0.010989338217483652,0.036026238233883665
2600,0.014732006547558466,,0.9589550928689301,0.004303557468247763,,0.10212893427952635,,4.286010793782575,0.002544001130667169,0.016492007329781035,0.03718134985837771
2700,0.015480006880003058,,1.033294681464303,0.004390668618074941,,0.10903471512654006,,4.789355906380403,0.003191556974025322,0.012222227654323403,0.038317350363266826
2800,0.016528896235064993,,1.1143196063642695,0.0037840016817785255,,0.12049872022165344,,5.1838645261620115,0.0035768904786179904,0.012755116780051902,0.03910979515990896
2900,0.01810089693373197,,1.2063054250246332,0.0039720017653341174,,0.12634094504042,,5.885329726813212,0.0035342237929883525,0.015504895779953681,0.03964801762134117
